EmployeeID,Name,Department,Status,Date
1000,Employee_1,Sales,Onboarded,2023-09-23
1001,Employee_2,Marketing,Recruited,2024-12-19
1002,Employee_3,IT,Recruited,2024-03-02
1003,Employee_4,Sales,Onboarded,2024-07-21
1004,Employee_5,HR,Offboarded,2023-08-01
1005,Employee_6,IT,Onboarded,2024-02-28
1006,Employee_7,HR,Onboarded,2022-12-14
1007,Employee_8,IT,Recruited,2022-07-20
1008,Employee_9,Sales,Onboarded,2023-10-13
1009,Employee_10,Sales,Offboarded,2022-04-15
1010,Employee_11,HR,Recruited,2023-08-30
1011,Employee_12,IT,Offboarded,2022-11-23
1012,Employee_13,HR,Recruited,2023-12-30
1013,Employee_14,Finance,Recruited,2022-03-08
1014,Employee_15,Sales,Recruited,2024-06-28
1015,Employee_16,Sales,Offboarded,2024-07-04
1016,Employee_17,IT,Onboarded,2022-07-26
1017,Employee_18,Marketing,Recruited,2023-03-31
1018,Employee_19,Finance,Onboarded,2022-10-29
1019,Employee_20,Finance,Offboarded,2023-05-31
1020,Employee_21,Finance,Onboarded,2024-06-30
1021,Employee_22,IT,Offboarded,2023-10-14
1022,Employee_23,Finance,Onboarded,2022-01-23
1023,Employee_24,Marketing,Onboarded,2024-07-22
1024,Employee_25,Marketing,Offboarded,2024-02-04
1025,Employee_26,Finance,Recruited,2024-07-29
1026,Employee_27,IT,Onboarded,2024-08-24
1027,Employee_28,Finance,Recruited,2022-08-31
1028,Employee_29,Sales,Recruited,2023-11-21
1029,Employee_30,Sales,Onboarded,2023-12-06
1030,Employee_31,IT,Offboarded,2024-08-11
1031,Employee_32,Marketing,Onboarded,2024-10-31
1032,Employee_33,Marketing,Onboarded,2023-06-22
1033,Employee_34,Finance,Offboarded,2022-01-21
1034,Employee_35,Sales,Recruited,2024-12-30
1035,Employee_36,Sales,Offboarded,2023-04-14
1036,Employee_37,Finance,Offboarded,2023-06-02
1037,Employee_38,Marketing,Offboarded,2022-02-23
1038,Employee_39,Finance,Offboarded,2022-12-28
1039,Employee_40,Sales,Offboarded,2024-08-02
1040,Employee_41,Finance,Offboarded,2023-08-04
1041,Employee_42,Finance,Onboarded,2022-02-08
1042,Employee_43,HR,Offboarded,2024-02-15
1043,Employee_44,HR,Recruited,2023-04-09
1044,Employee_45,HR,Recruited,2022-11-23
1045,Employee_46,Marketing,Offboarded,2024-12-07
1046,Employee_47,Marketing,Onboarded,2023-10-11
1047,Employee_48,Finance,Offboarded,2023-10-04
1048,Employee_49,Finance,Onboarded,2024-09-20
1049,Employee_50,Finance,Onboarded,2024-09-15
1050,Employee_51,Finance,Recruited,2022-01-04
1051,Employee_52,IT,Onboarded,2024-03-13
1052,Employee_53,Marketing,Offboarded,2024-03-16
1053,Employee_54,Marketing,Offboarded,2022-03-11
1054,Employee_55,Marketing,Offboarded,2022-10-15
1055,Employee_56,Marketing,Recruited,2024-12-19
1056,Employee_57,IT,Offboarded,2023-10-05
1057,Employee_58,Finance,Recruited,2022-12-01
1058,Employee_59,Marketing,Recruited,2024-10-01
1059,Employee_60,HR,Offboarded,2024-09-13
1060,Employee_61,IT,Onboarded,2024-05-28
1061,Employee_62,Finance,Offboarded,2022-03-14
1062,Employee_63,Finance,Recruited,2023-10-11
1063,Employee_64,HR,Onboarded,2023-11-21
1064,Employee_65,Marketing,Offboarded,2023-06-25
1065,Employee_66,IT,Recruited,2023-08-21
1066,Employee_67,IT,Onboarded,2023-12-28
1067,Employee_68,Sales,Recruited,2023-03-05
1068,Employee_69,IT,Recruited,2022-11-10
1069,Employee_70,IT,Recruited,2024-03-21
1070,Employee_71,Finance,Recruited,2024-07-12
1071,Employee_72,Finance,Onboarded,2023-11-02
1072,Employee_73,HR,Offboarded,2022-07-30
1073,Employee_74,Finance,Onboarded,2024-10-27
1074,Employee_75,IT,Offboarded,2024-04-14
1075,Employee_76,HR,Onboarded,2024-12-14
1076,Employee_77,Finance,Onboarded,2024-09-21
1077,Employee_78,Finance,Recruited,2023-08-04
1078,Employee_79,Finance,Offboarded,2023-10-19
1079,Employee_80,Finance,Recruited,2022-11-23
1080,Employee_81,IT,Recruited,2024-09-28
1081,Employee_82,Finance,Recruited,2024-12-10
1082,Employee_83,Marketing,Recruited,2023-03-31
1083,Employee_84,Finance,Recruited,2023-06-01
1084,Employee_85,IT,Onboarded,2024-04-04
1085,Employee_86,Sales,Recruited,2023-06-09
1086,Employee_87,Finance,Recruited,2024-12-24
1087,Employee_88,Finance,Offboarded,2022-05-08
1088,Employee_89,HR,Recruited,2022-01-31
1089,Employee_90,Finance,Offboarded,2023-02-20
1090,Employee_91,IT,Offboarded,2022-03-30
1091,Employee_92,Sales,Onboarded,2024-07-26
1092,Employee_93,Finance,Onboarded,2023-05-24
1093,Employee_94,Marketing,Recruited,2024-08-16
1094,Employee_95,IT,Offboarded,2022-06-13
1095,Employee_96,HR,Onboarded,2023-08-04
1096,Employee_97,Sales,Onboarded,2024-01-27
1097,Employee_98,Finance,Offboarded,2024-02-16
1098,Employee_99,Marketing,Offboarded,2023-08-07
1099,Employee_100,IT,Onboarded,2024-03-29
